Measuring Drosophila (fruit fly) activity during microgravity exposure,11543046,,"Important advances in the understanding of the aging process could be obtained through comprehension of the changes experienced by Drosophila melanogaster (fruit flies) during microgravity. Previous experiments flown on Cosmos satellites and various Space Shuttle missions have shown a significant decrease in the life span of young male Drosophila after microgravity exposure. Additionally, postflight analysis indicated an accelerated aging of the microgravity exposed male flies since they exhibited a significant decrease in mating ability and a consistently lower negative geotaxis response than the 1 g ground controls. The negative geotaxis response is the Drosophila's reaction to move opposite to the Earth's gravitational vector when disturbed in certain manners. Researchers have hypothesized that the accelerated aging, is due to an increased locomotor activity which causes a subsequent increase in mitochondrial activity. The increased mitochondrial activity, in turn, causes increased aging through accelerated damage to the mitochondrial system. An increase in locomotor activity was indicated by analyzing only a fraction (1/6th of a second) of the 15 minute video recordings of groups of Drosophila taken approximately every two days during a 14-day Space Shuttle flight. The increased locomotor activity may be related to the Drosophila's negative geotaxis response in that the flies may be reacting to the absence of normal gravity by continuously searching for the gravity vector. The aims of this study are to develop methods to accurately measure individual Drosophila activity, use these derived methods in 1 g to create a Drosophila activity baseline, and use the methods during short and long duration microgravity exposure (sounding rockets, parabolic flights, Space Shuttle, International Space Station, etc.) to examine Drosophila activity. The role of the negative geotaxis response on locomotor activity will be examined by using two strains of behaviorally selected Drosophila, one that exhibits a large or hyper negative geotaxis response and another that has a positive geotaxis response, in addition to examining flies with a normal or negative geotaxis response.",1999,"M S Miller, T S Keller, M S Miller, M S Miller, T S Keller, M S Miller"
Attenuation of rotenone-induced mitochondrial oxidative damage and neurotoxicty in Drosophila melanogaster supplemented with creatine,20514516,10.1007/s11064-010-0198-z,"Creatine (Cr), an ergogenic nutritional supplement is demonstrated to possess bioenergetic, antiexcitotoxic and antioxidant properties. This study investigated the neuroprotective effects of Cr against rotenone induced oxidative stress, mortality and neurotoxicty in Drosophila melanogaster. We found significant diminution in the endogenous levels of oxidative markers in whole body homogenates of flies exposed to Cr (2-10 mM). Cr supplementation resulted in reduced mortality in flies exposed to rotenone (500 microM) and better performance in a negative geotaxis assay. Further Cr (10 mM) markedly offset rotenone induced mitochondrial oxidative stress, completely restored the GSH levels, nitric oxide levels, activity of Mn-SOD and dopamine depletion. In an oxidative stress bioassay, flies given Cr prophylaxis exhibited marked resistance to paraquat exposure. These data allow us to hypothesize that the neuroprotective action of Cr in Drosophila may be related to its direct antioxidant activity and ability to abrogate rotenone induced mitochondrial oxidative stress.",2010,"Ravikumar Hosamani, Saraf R Ramesh, Muralidhara, Ravikumar Hosamani, Saraf R Ramesh, Muralidhara"
Local adaptation does not always predict high mating success,20487138,10.1111/j.1420-9101.2010.01957.x,"The hypothesis that adaptation to local environments can increase mating success was tested using ten replicate lines of Drosophila melanogaster adapted either to 16 degrees C or to 25 degrees C. Competitive mating trials at both temperatures were performed with males taken from a pair of lines, one adapted to each temperature. There was no average increase in mating success for males adapted to the local environment. Although one pair of lines showed the expected pattern, another pair showed the reverse pattern. More data are needed on this hypothesis, preferably with lines that have more strongly adapted to local environments.",2010,"L Correia, S Yeaman, M C Whitlock, L Correia, S Yeaman, M C Whitlock"
Navigational decision making in Drosophila thermotaxis,20335462,10.1523/JNEUROSCI.4090-09.2010,"A mechanistic understanding of animal navigation requires quantitative assessment of the sensorimotor strategies used during navigation and quantitative assessment of how these strategies are regulated by cellular sensors. Here, we examine thermotactic behavior of the Drosophila melanogaster larva using a tracking microscope to study individual larval movements on defined temperature gradients. We discover that larval thermotaxis involves a larger repertoire of strategies than navigation in smaller organisms such as motile bacteria and Caenorhabditis elegans. Beyond regulating run length (i.e., biasing a random walk), the Drosophila melanogaster larva also regulates the size and direction of turns to achieve and maintain favorable orientations. Thus, the sharp turns in a larva's trajectory represent decision points for selecting new directions of forward movement. The larva uses the same strategies to move up temperature gradients during positive thermotaxis and to move down temperature gradients during negative thermotaxis. Disrupting positive thermotaxis by inactivating cold-sensitive neurons in the larva's terminal organ weakens all regulation of turning decisions, suggesting that information from one set of temperature sensors is used to regulate all aspects of turning decisions. The Drosophila melanogaster larva performs thermotaxis by biasing stochastic turning decisions on the basis of temporal variations in thermosensory input, thereby augmenting the likelihood of heading toward favorable temperatures at all times.",2010,"Linjiao Luo, Marc Gershow, Mark Rosenzweig, Kyeongjin Kang, Christopher Fang-Yen, Paul A Garrity, Aravinthan D T Samuel, Linjiao Luo, Marc Gershow, Mark Rosenzweig, Kyeongjin Kang, Christopher Fang-Yen, Paul A Garrity, Aravinthan D T Samuel"
BrainTrap: a database of 3D protein expression patterns in the Drosophila brain,20624714,10.1093/database/baq005,"Protein-trap strains of Drosophila melanogaster provide a very useful tool for examining the 3D-expression patterns of proteins and purification of protein complexes. Here we present BrainTrap, available at http://fruitfly.inf.ed.ac.uk/braintrap, an online database of 3D confocal datasets showing reporter gene expression and protein localization in the adult brain of Drosophila. Full size images throughout the volume of the entire brain can be viewed interactively in a web browser. The database includes searchable annotations linked to the FlyBase Drosophila anatomy ontology. Anatomical search criteria can be specified using automatic completion and a hierarchical browser for the ontology. The provenance of all annotation is retained and the location where the annotator made the conclusion can be highlighted. Database URL: http://fruitfly.inf.ed.ac.uk/braintrap.",2010,"Seymour Knowles-Barley, Mark Longair, J Douglas Armstrong, Seymour Knowles-Barley, Mark Longair, J Douglas Armstrong"
Sexual conflict in wing size and shape in Drosophila melanogaster,20695965,10.1111/j.1420-9101.2010.02064.x,"Intralocus sexual conflict occurs when opposing selection pressures operate on loci expressed in both sexes, constraining the evolution of sexual dimorphism and displacing one or both sexes from their optimum. We eliminated intralocus conflict in Drosophila melanogaster by limiting transmission of all major chromosomes to males, thereby allowing them to win the intersexual tug-of-war. Here, we show that this male-limited (ML) evolution treatment led to the evolution (in both sexes) of masculinized wing morphology, body size, growth rate, wing loading, and allometry. In addition to more male-like size and shape, ML evolution resulted in an increase in developmental stability for males. However, females expressing ML chromosomes were less developmentally stable, suggesting that being ontogenetically more male-like was disruptive to development. We suggest that sexual selection over size and shape of the imago may therefore explain the persistence of substantial genetic variation in these characters and the ontogenetic processes underlying them.",2010,"J K Abbott, S Bedhomme, A K Chippindale, J K Abbott, S Bedhomme, A K Chippindale"
Genomic instability of I elements of Drosophila melanogaster in absence of dysgenic crosses,20957225,10.1371/journal.pone.0013142,"Retrotranspostion of I factors in the female germline of Drosophila melanogaster is responsible for the so called I-R hybrid dysgenesis, a phenomenon that produces a broad spectrum of genetic abnormalities including reduced fertility, increased frequency of mutations and chromosome loss. Transposition of I factor depends on cellular conditions that are established in the oocytes of the reactive females and transmitted to their daughters. The so-called reactivity is a cellular state that may exhibit variable levels of expression and represents a permissive condition for I transposition at high levels. Defective I elements have been proposed to be the genetic determinants of reactivity and, through their differential expression, to modulate transposition of active copies in somatic and/or germ line cells. Recently, control of transposable element activity in the germ line has been found to depend on pi-RNAs, small repressive RNAs interacting with Piwi-family proteins and derived from larger transposable elements (TE)-derived primary transcripts. In particular, maternally transmitted I-element piRNAs originating from the 42AB region of polytene chromosomes were found to be involved in control of I element mobility. In the present work, we use a combination of cytological and molecular approaches to study the activity of I elements in three sublines of the inducer y; cn bw; sp isogenic strain and in dysgenic and non-dysgenic genetic backgrounds. Overall, the results of FISH and Southern blotting experiments clearly show that I elements are highly unstable in the Montpellier subline in the absence of classical dysgenic conditions. Such instability appears to be correlated to the amount of 5' and 3' I element transcripts detected by quantitative and real-time RT-PCR. The results of this study indicate that I elements can be highly active in the absence of a dysgenic crosses. Moreover, in the light of our results caution should be taken to assimilate the genomic annotation data on transposable elements to all y; cn bw sp sublines.",2010,"Roberta Moschetti, Patrizio Dimitri, Ruggiero Caizzi, Nikolaj Junakovic, Roberta Moschetti, Patrizio Dimitri, Ruggiero Caizzi, Nikolaj Junakovic"
Drosophila Mtm and class II PI3K coregulate a PI(3)P pool with cortical and endolysosomal functions,20696708,10.1083/jcb.200911020,"Reversible phosphoinositide phosphorylation provides a dynamic membrane code that balances opposing cell functions. However, in vivo regulatory relationships between specific kinases, phosphatases, and phosphoinositide subpools are not clear. We identified myotubularin (mtm), a Drosophila melanogaster MTM1/MTMR2 phosphoinositide phosphatase, as necessary and sufficient for immune cell protrusion formation and recruitment to wounds. Mtm-mediated turnover of endosomal phosphatidylinositol 3-phosphate (PI(3)P) pools generated by both class II and III phosphatidylinositol 3-kinases (Pi3K68D and Vps34, respectively) is needed to down-regulate membrane influx, promote efflux, and maintain endolysosomal homeostasis. Endocytosis, but not endolysosomal size, contributes to cortical remodeling by mtm function. We propose that Mtm-dependent regulation of an endosomal PI(3)P pool has separable consequences for endolysosomal homeostasis and cortical remodeling. Pi3K68D depletion (but not Vps34) rescues protrusion and distribution defects in mtm-deficient immune cells and restores functions in other tissues essential for viability. The broad interactions between mtm and class II Pi3K68D suggest a novel strategy for rebalancing PI(3)P-mediated cell functions in MTM-related human disease.",2010,"Michaella Velichkova, Joe Juan, Pavan Kadandale, Steve Jean, InÃªs Ribeiro, Vignesh Raman, Chris Stefan, Amy A Kiger, Michaella Velichkova, Joe Juan, Pavan Kadandale, Steve Jean, InÃªs Ribeiro, Vignesh Raman, Chris Stefan, Amy A Kiger"
Production of reactive oxygen species by the mitochondrial electron transport chain in Drosophila melanogaster,20300811,10.1007/s10863-010-9281-z,"Mitochondrial free radicals and in particular mitochondrial Reactive Oxygen Species (mtROS) are considered to be totally or partially responsible for several different diseases including Parkinson, diabetes or cancer. Even more importantly, mtROS have also been proposed as the main driving force behind the aging process. Thus, in the last decade, there has been a growing interest in the role of free radicals as signalling molecules. Collectively this makes understanding mechanisms controlling free radical production extremely important. There is extensive published literature on mammalian models (essentially rat, mouse and guinea pig) however; this is not the case in Drosophila melanogaster. Drosophila is an excellent model to study different physiological and pathological processes. Additionally a robust method to study mtROS is extremely useful. In the present article, we describe a simple--but extremely sensitive--method to study mtROS production in Drosophila. We have performed various experiments to determine which specific respiratory complexes produce free radicals in the electron transport chain of Drosophila melanogaster. Complex I is the main generator of ROS in Drosophila mitochondria, leaking electrons either in the forward or reverse direction. The production of ROS during reverse electron transport can be prevented either by rotenone or by the oxidation of NADH by complex I. These results clearly show that Drosophila mitochondria function in a very similar way to mammalian mitochondria, and therefore are a very relevant experimental model for biochemical studies related to ageing.",2010,"Alberto Sanz, Rhoda Stefanatos, George McIlroy, Alberto Sanz, Rhoda Stefanatos, George McIlroy"
Developmental and functional studies of the SLC12 gene family members from Drosophila melanogaster,19828839,10.1152/ajpcell.00376.2009,"The electroneutral cation-chloride cotransporter gene family, SLC12, contains nine members in vertebrates. These include seven sodium and/or potassium-coupled chloride transporters and two membrane proteins of unknown function. Although SLC12 family members have been identified in a number of lower species, the functional properties of these proteins are unknown. There are five SLC12 homologues in Drosophila melanogaster, including at least one member on each of the four main branches of the vertebrate phylogenetic tree. We have employed in situ hybridization to study the expression patterns of the Drosophila SLC12 proteins during embryonic development. Our studies indicate that all five members of this family are expressed during early embryogenesis (stages 1-6), but that spatial and temporal expression patterns become more refined as development proceeds. Expression during late embryogenesis was seen predominantly in the ventral nerve cord, salivary gland, gut, and anal pad. In parallel studies, we have carried out transport assays on each of the five Drosophila homologues, expressed as recombinant proteins in the cultured insect cell line High Five. Under our experimental conditions, we found that only one of these proteins, CG4357, transported the potassium congener (86)Rb. Additional experiments established that rubidium transport via CG4357 was saturable (K(m) = 0.29 +/- 0.05 mM), sodium-dependent (half-saturation constant = 53 +/- 11 mM), chloride-dependent (half-saturation constant = 48 +/- 5 mM), and potently inhibited by bumetanide (inhibitor constant = 1.17 +/- 0.08 muM), a specific inhibitor of Na(+)-K(+)-2Cl(-) cotransporters. Taken together, our results provide strong evidence that CG4357 is an insect ortholog of the vertebrate Na(+)-K(+)-2Cl(-) cotransporters.",2010,"Qifei Sun, E Tian, R James Turner, Kelly G Ten Hagen, Qifei Sun, E Tian, R James Turner, Kelly G Ten Hagen"
[Alternative splicing landscape of the Drosophila melanogaster genome],21061609,,"Alternative splicing (AS) intensity (isoform number per gene) was studied as dependent on the gene size for various regions of the Drosophila melanogaster genome. The AS intensity of long transcripts from regions with a low gene density proved to be significantly higher than for regions with a high gene density. An opposite pattern was observed for small genes. The intron density distribution was approximated using the y distributions for regions with a high or low gene density. Statistical comparisons of the gamma distributions confirmed a lower coefficient lambda for regions with a low gene density (i.e., the average intron density was higher). Based on these data, relaxed evolution of the exon-intron structure was assumed for regions with a low gene density.",2010,"V N Babenko, R B AÄ­tnazarov, F A Goncharov, I F Zhimulev, V N Babenko, R B AÄ­tnazarov, F A Goncharov, I F Zhimulev"
Detecting strong positive selection in the genome,21565097,10.1111/j.1755-0998.2010.02869.x,"New statistical tests have been developed in the past decade that enable us to infer evidence of recent strong positive selection from genome-wide data on single-nucleotide polymorphism and to localize the targets of selection in the genome. Based on these tests, past demographic events that led to distortions of the site-frequency spectrum of variation can be distinguished from selection, in particular if linkage disequilibrium is taken into account. These methods have been successfully applied to species from which complete sequence information and polymorphism data are available, including Drosophila melanogaster, humans, and several plant species. To make full use of the available data, however, the tests that were primarily designed for panmictic populations need to be extended to spatially structured populations.",2010,"Wolfgang Stephan, Wolfgang Stephan"
Ecdysone signaling and transcript signature in Drosophila cells resistant against methoxyfenozide,20816975,10.1016/j.jinsphys.2010.08.022,"Methoxyfenozide (RH-2485) is a non-steroidal ecdysteroid agonist with a dibenzoylhydrazine structure, representing a group used as novel biorational insecticides in the control of insect pests. Here we report on the selection of Drosophila melanogaster S2 cells for resistance to inhibition of cell proliferation by methoxyfenozide by ??1000-fold over 4 months. Cells were exposed to gradually increasing concentrations of methoxyfenozide and selected out based on the ecdysteroid-sensitive response for cell proliferation. In the resistant cells, the ecdysteroid receptor (EcR/USP) complex was no longer active in the presence of methoxyfenozide. But when resistant cells were relaxed from pressure in methoxyfenozide-free medium, induction of the reporter construct was observed. In parallel, EcR/USP functionality was also restored when resistant cells were rescued by a Drosophila EcR plasmid. However, it was striking that in the resistant cells the ecdysteroid-sensitive response for cell proliferation was not restored upon methoxyfenozide withdrawal, indicating permanent changes in the physiology of the cells during selection. To investigate changes in gene expression caused by inactivation of the EcR/USP complex in resistant cells, Drosophila oligo 14kv1 microarrays were used and probed with cDNAs from resistant cells in the presence and absence of ecdysone agonist on one hand and from unselected sensitive cells on the other hand. A selection of 324 differentially expressed genes was assigned covering diverse functions as transport, enzyme activity, cytoskeleton organization, cell cycle machinery, transcription/translation and ecdysteroid signaling. Besides the identification of (primary and secondary) target genes of the EcR/USP signaling pathway, this analysis also allows to gain insights into the mechanism of resistance and on the crosstalk between ecdysteroid signaling and cell proliferation-linked processes.",2010,"Hadi Mosallanejad, Liesbeth Badisco, Luc Swevers, Thomas Soin, Dries Knapen, Jozef Vanden Broeck, Guy Smagghe, Hadi Mosallanejad, Liesbeth Badisco, Luc Swevers, Thomas Soin, Dries Knapen, Jozef Vanden Broeck, Guy Smagghe"
Evening circadian oscillator as the primary determinant of rhythmic motivation for Drosophila courtship behavior,21083635,10.1111/j.1365-2443.2010.01456.x,"Circadian clocks of Drosophila melanogaster motivate males to court females at a specific time of day. However, clock neurons involved in courtship rhythms in the brain of Drosophila remain totally unknown. The circadian locomotor behavior of Drosophila is controlled by morning (M cells) and evening (E cells) cells in the brain, which regulate morning and evening activities, respectively. Here, we identified the brain clock neurons that are responsible for the circadian rhythms of the close-proximity (CP) behavior that reflects male courtship motivation. Interestingly, the ablation or functional molecular clock disruption of E cells caused arrhythmic CP behavior, but that of M cells resulted in sustained CP rhythms even in constant darkness. In addition, the ablation of some dorsal lateral neurons (LNd) of E cells using neuropeptide-F (NPF)-GAL4 did not impair CP rhythms. These findings suggested that the NPF-negative LNds and DN1s of E cells include cells essential for circadian CP behavior in Drosophila.",2010,"Yasutaka Hamasaka, Takahiro Suzuki, Shuji Hanai, Norio Ishida, Yasutaka Hamasaka, Takahiro Suzuki, Shuji Hanai, Norio Ishida"
ON and OFF pathways in Drosophila motion vision,21068841,10.1038/nature09545,"Motion vision is a major function of all visual systems, yet the underlying neural mechanisms and circuits are still elusive. In the lamina, the first optic neuropile of Drosophila melanogaster, photoreceptor signals split into five parallel pathways, L1-L5. Here we examine how these pathways contribute to visual motion detection by combining genetic block and reconstitution of neural activity in different lamina cell types with whole-cell recordings from downstream motion-sensitive neurons. We find reduced responses to moving gratings if L1 or L2 is blocked; however, reconstitution of photoreceptor input to only L1 or L2 results in wild-type responses. Thus, the first experiment indicates the necessity of both pathways, whereas the second indicates sufficiency of each single pathway. This contradiction can be explained by electrical coupling between L1 and L2, allowing for activation of both pathways even when only one of them receives photoreceptor input. A fundamental difference between the L1 pathway and the L2 pathway is uncovered when blocking L1 or L2 output while presenting moving edges of positive (ON) or negative (OFF) contrast polarity: blocking L1 eliminates the response to moving ON edges, whereas blocking L2 eliminates the response to moving OFF edges. Thus, similar to the segregation of photoreceptor signals in ON and OFF bipolar cell pathways in the vertebrate retina, photoreceptor signals segregate into ON-L1 and OFF-L2 channels in the lamina of Drosophila.",2010,"Maximilian Joesch, Bettina Schnell, Shamprasad Varija Raghu, Dierk F Reiff, Alexander Borst, Maximilian Joesch, Bettina Schnell, Shamprasad Varija Raghu, Dierk F Reiff, Alexander Borst"
The cytoskeletal regulator zyxin is required for viability in Drosophila melanogaster,20648572,10.1002/ar.21193,"The zyxin family of proteins function as cytoskeletal regulators in adhesion, actin assembly, and cell motility. Though fibroblasts derived from zyxin-null mice show striking defects in motility and response to mechanical stimuli, the mice are viable and fertile. In Drosophila melanogaster, the family is represented by a single homologue, Zyx102. To study the role of zyxin during development, we generated a zyx102 RNA-interference transgenic line that allows for the conditional knockdown of Zyx102. When UAST-zyx102-dsRNAi expression is driven broadly by Actin5C-GAL4, loss of Zyx102 results in lethality during the pharate adult stage, a narrow developmental window during which the fly must molt, resorb molting fluid, fill adult trachea with air, and execute a behavioral program to eclose. Zyx102 knockdown animals attempt to emerge, but their adult trachea do not fill with air. If dissected from the pupal case, knockdown individuals appear morphologically normal, but remain inviable.",2010,"Patricia J Renfranz, Elizabeth Blankman, Mary C Beckerle, Patricia J Renfranz, Elizabeth Blankman, Mary C Beckerle"
Effects of zinc on programmed cell death of Musca domestica and Drosophila melanogaster blood cells,19941868,10.1016/j.jinsphys.2009.11.010,"Programmed cell death (PCD) and phagocytotic activity of immune cells play a pivotal role in insect development. We examined the influence of Zn(2+), an important element to fundamental biological processes, on phagocytosis and apoptosis of hemocytes in two fly species: Musca domestica and Drosophila melanogaster. Hemocytes were isolated from the third instar larvae of both species and treated for 3h with zinc chloride solutions, containing 0.35 mM or 1.7 mM of Zn(2+), and untreated as control. Phagocytotic activity of hemocytes was examined by flow cytometry after adding latex fluorescent beads to the medium, while apoptosis was evaluated by application of annexinV-FITC and pan-caspase-FITC inhibitor. Mitochondrial viability was determined by measuring resazurin absorbancy in the cell medium. The obtained results showed that Zn(2+) increases phagocytosis and affects PCD of both species hemocytes but each in a different way. Zinc decreases fraction of annexin-positive hemocytes in M. domestica but increases it in D. melanogaster. The pan-caspase analysis revealed low and high activity of caspases in hemocytes of M. domestica and D. melanogaster, respectively. Zn(2+) also decreased the viability of hemocyte mitochondria but only in D. melanogaster. It suggests that flies use different pathways of PCD, or that Zn plays a different role in this process in M. domestica than in D. melanogaster.",2010,"Marta Filipiak, Ewelina Bilska, Grzegorz Tylko, Elzbieta Pyza"
Evolution of diverse mechanisms for protecting chromosome ends by Drosophila TART telomere retrotransposons,21088221,10.1073/pnas.1015926107,"The retrotransposons HeT-A, TART, and TAHRE, which maintain Drosophila telomeres, transpose specifically onto chromosome ends to form long arrays that extend the chromosome and compensate for terminal loss. Because they transpose by target-primed reverse transcription, each element is oriented so that its 5' end serves as the extreme end of the chromosome until another element transposes to occupy the terminal position. Thus 5' sequences are at risk for terminal erosion while the element is at the chromosome end. Here we report that TART elements in Drosophila melanogaster and Drosophila virilis show species-specific innovations in promoter architecture that buffer loss of sequence exposed at chromosome ends. The two elements have evolved different ways to effect this protection. The D. virilis TART (TART(vir)) promoter is found in the 3' UTR of the element directly upstream of the element transcribed. Transcription starts within the upstream element so that a ""Tag"" of extra sequence is added to the 5' end of the newly transcribed RNA. This Tag provides expendable sequence to buffer end erosion of essential 5' sequence after the RNA is reverse transcribed onto the chromosome. In contrast, the D. melanogaster TART (TART(mel)) promoter initiates transcription deep within the 5' UTR, but the element is able to replace and extend the 5' UTR sequence by copying sequence from its 3' UTR, we believe while being reverse transcribed onto the chromosome end. Astonishingly, end-protection in TART(vir) and HeT-A(mel) are essentially identical (using Tags), whereas HeT-A(vir) is clearly protected from end erosion by an as-yet-unspecified program.",2010,"Janet A George, Karen L Traverse, P G DeBaryshe, Kerry J Kelley, Mary-Lou Pardue, Janet A George, Karen L Traverse, P G DeBaryshe, Kerry J Kelley, Mary-Lou Pardue"
Two PABPC1-binding sites in GW182 proteins promote miRNA-mediated gene silencing,21063388,10.1038/emboj.2010.274,"miRNA-mediated gene silencing requires the GW182 proteins, which are characterized by an N-terminal domain that interacts with Argonaute proteins (AGOs), and a C-terminal silencing domain (SD). In Drosophila melanogaster (Dm) GW182 and a human (Hs) orthologue, TNRC6C, the SD was previously shown to interact with the cytoplasmic poly(A)-binding protein (PABPC1). Here, we show that two regions of GW182 proteins interact with PABPC1: the first contains a PABP-interacting motif 2 (PAM2; as shown before for TNRC6C) and the second contains the M2 and C-terminal sequences in the SD. The latter mediates indirect binding to the PABPC1 N-terminal domain. In D. melanogaster cells, the second binding site dominates; however, in HsTNRC6A-C the PAM2 motif is essential for binding to both Hs and DmPABPC1. Accordingly, a single amino acid substitution in the TNRC6A-C PAM2 motif abolishes the interaction with PABPC1. This mutation also impairs TNRC6s silencing activity. Our findings reveal that despite species-specific differences in the relative strength of the PABPC1-binding sites, the interaction between GW182 proteins and PABPC1 is critical for miRNA-mediated silencing in animal cells.",2010,"Eric Huntzinger, Joerg E Braun, Susanne HeimstÃ¤dt, Latifa Zekri, Elisa Izaurralde, Eric Huntzinger, Joerg E Braun, Susanne HeimstÃ¤dt, Latifa Zekri, Elisa Izaurralde"
Extracellular and intracellular pathogen recognition by Drosophila PGRP-LE and PGRP-LC,20089584,10.1093/intimm/dxp128,"Despite lacking the adaptive immunity that is found in higher vertebrates, insects are able to defend themselves from a large battery of pathogens by multiple innate immune responses using molecular mechanisms that are strikingly similar to the innate immune responses of other multicellular organisms, including humans. The fruit fly Drosophila melanogaster is therefore an excellent model organism for studying the basic principles of innate immunity using genetic and molecular biology techniques. In Drosophila, invading pathogens that pass through the epithelial barriers (a first line of self-defense) can encounter humoral and cellular responses that utilize pattern-recognition receptors to identify pathogen-associated molecular patterns in the hemolymph or on the immune cell surface. Some pathogens escape recognition and elimination in the hemolymph by invading the host cytoplasm. Some intracellular pathogens such as Listeria monocytogenes are, nevertheless, eliminated by immune reactions such as autophagy through intracellular identification by pattern-recognition receptors.",2010,"Shoichiro Kurata, Shoichiro Kurata"
Recombination yet inefficient selection along the Drosophila melanogaster subgroup's fourth chromosome,20008457,10.1093/molbev/msp291,"A central goal of evolutionary genetics is an understanding of the forces responsible for the observed variation, both within and between species. Theoretical and empirical work have demonstrated that genetic recombination contributes to this variation by breaking down linkage between nucleotide sites, thus allowing them to behave independently and for selective forces to act efficiently on them. The Drosophila fourth chromosome, which is believed to experience no-or very low-rates of recombination has been an important model for investigating these effects. Despite previous efforts, central questions regarding the extent of recombination and the predominant modes of selection acting on it remain open. In order to more comprehensively test hypotheses regarding recombination and its potential influence on selection along the fourth chromosome, we have resequenced regions from most of its genes from Drosophila melanogaster, D. simulans, and D. yakuba. These data, along with available outgroup sequence, demonstrate that recombination is low but significantly greater than zero for the three species. Despite there being recombination, there is strong evidence that its frequency is low enough to have rendered selection relatively inefficient. The signatures of relaxed constraint can be detected at both the level of polymorphism and divergence.",2010,"J Roman Arguello, Yue Zhang, Tomoyuki Kado, Chuanzhu Fan, Ruoping Zhao, Hideki Innan, Wen Wang, Manyuan Long, J Roman Arguello, Yue Zhang, Tomoyuki Kado, Chuanzhu Fan, Ruoping Zhao, Hideki Innan, Wen Wang, Manyuan Long"
Effects of acute or chronic exposure to dietary organic anions on secretion of methotrexate and salicylate by Malpighian tubules of Drosophila melanogaster larvae,20077573,10.1002/arch.20346,"The effects of dietary exposure to organic anions on the physiology of isolated Malpighian tubules and on tubule gene expression were examined using larvae of Drosophila melanogaster. Acute (24 h) or chronic (7 d) exposure to type I organic anions (fluorescein or salicylate) was associated with increased fluid secretion rates and increased fluxes of both salicylate and the type II organic anion methotrexate. By contrast, chronic exposure to dietary methotrexate was associated with increased fluid secretion rate and increased flux of methotrexate, but not salicylate. Exposure to methotrexate in the diet resulted in increases in the expression of a multidrug efflux transporter gene (MET; CG30344) in the Malpighian tubules. There were also increases in expression of genes for either a Drosophila multidrug resistance-associated protein (dMRP; CG6214) or an organic anion transporting polypeptide (OATP; CG3380), depending on the concentration of methotrexate in the diet. Exposure to salicylate in the diet was associated with an increase in expression of dMRP and with decreases of MET and OATP. Exposure to dietary salicylate or methotrexate was also associated with different patterns of expression of heat shock protein genes. The results suggest that exposure to specific type I or type II organic anions has multiple effects and results not only in increased organic anion transport but also in increased rates of inorganic ion transport, which drives osmotically-obliged fluid secretion. Increased fluid secretion may enhance secretion of organic anions by eliminating diffusive backflux from the tubule lumen to the hemolymph.",2010,"Sarah Chahine, Michael J O'Donnell, Sarah Chahine, Michael J O'Donnell"
FlyTF: improved annotation and enhanced functionality of the Drosophila transcription factor database,19884132,10.1093/nar/gkp910,"FlyTF (http://www.flytf.org) is a database of computationally predicted and/or experimentally verified site-specific transcription factors (TFs) in the fruit fly Drosophila melanogaster. The manual classification of TFs in the initial version of FlyTF that concentrated primarily on the DNA-binding characteristics of the proteins has now been extended to a more fine-grained annotation of both DNA binding and regulatory properties in the new release. Furthermore, experimental evidence from the literature was classified into a defined vocabulary, and in collaboration with FlyBase, translated into Gene Ontology (GO) annotation. While our GO annotations will also be available through FlyBase as they will be incorporated into the genes' official GO annotation in the future, the entire evidence used for classification including computational predictions and quotes from the literature can be accessed through FlyTF. The FlyTF website now builds upon the InterMine framework, which provides experimental and computational biologists with powerful search and filter functionality, list management tools and access to genomic information associated with the TFs.",2010,"Ulrike Pfreundt, Daniel P James, Susan Tweedie, Derek Wilson, Sarah A Teichmann, Boris Adryan, Ulrike Pfreundt, Daniel P James, Susan Tweedie, Derek Wilson, Sarah A Teichmann, Boris Adryan"
Acid sensing by the Drosophila olfactory system,21085119,10.1038/nature09537,"The odour of acids has a distinct quality that is perceived as sharp, pungent and often irritating. How acidity is sensed and translated into an appropriate behavioural response is poorly understood. Here we describe a functionally segregated population of olfactory sensory neurons in the fruitfly, Drosophila melanogaster, that are highly selective for acidity. These olfactory sensory neurons express IR64a, a member of the recently identified ionotropic receptor (IR) family of putative olfactory receptors. In vivo calcium imaging showed that IR64a+ neurons projecting to the DC4 glomerulus in the antennal lobe are specifically activated by acids. Flies in which the function of IR64a+ neurons or the IR64a gene is disrupted had defects in acid-evoked physiological and behavioural responses, but their responses to non-acidic odorants remained unaffected. Furthermore, artificial stimulation of IR64a+ neurons elicited avoidance responses. Taken together, these results identify cellular and molecular substrates for acid detection in the Drosophila olfactory system and support a labelled-line mode of acidity coding at the periphery.",2010,"Minrong Ai, Soohong Min, Yael Grosjean, Charlotte Leblanc, Rati Bell, Richard Benton, Greg S B Suh, Minrong Ai, Soohong Min, Yael Grosjean, Charlotte Leblanc, Rati Bell, Richard Benton, Greg S B Suh"
